Latitude,Longitude,No.,Red %,NIR %,NDVI,chlorphyll reading ,"Visual Rating (1 healthy, 5 diseased)",MCARI,mND705,PRI,RedEdgeRatio,WBI
34.04970282688737,-117.8205531,N=34,38,8,0.5294117647058822,27.6,2,-0.45882352941176474,0.8352941176470587,0.5294117647058822,0.5294117647058822,0.5294117647058822
34.049641974270344,-117.8205673,N=35,35,0,0.5294117647058822,30.8,2,-0.45882352941176474,0.8352941176470587,0.8352941176470587,0.5294117647058822,0.5294117647058822
34.04951708391309,-117.820611,N=36,26,1,0.5294117647058822,50.8,2,-0.45882352941176474,0.8352941176470587,0.39607843137254894,0.5294117647058822,0.5294117647058822
34.04945665039122,-117.8206366,N=37,20,0,0.5294117647058822,73.4,2,-0.45882352941176474,0.8352941176470587,0.8509803921568628,0.5294117647058822,0.5294117647058822
34.04936335980892,-117.8206628,N=38,37,3,0.8352941176470587,51.3,2,-0.45882352941176474,0.8352941176470587,0.8509803921568628,0.5294117647058822,0.5294117647058822
34.0492953825742,-117.8206817,N=39,17,2,0.5294117647058822,47.7,4,-0.45882352941176474,0.8352941176470587,0.8509803921568628,0.5294117647058822,0.5294117647058822
34.04924634844065,-117.820705,N=40,20,0,0.5294117647058822,39.5,3,-0.45882352941176474,0.8509803921568628,0.8352941176470587,0.5294117647058822,0.8509803921568628
34.04922019690275,-117.8207161,N=41,18,4,0.8352941176470587,28.1,4,-0.45882352941176474,0.8352941176470587,0.39607843137254894,0.5294117647058822,0.39607843137254894
34.04916479252279,-117.8207362,N=42,14,9,0.8352941176470587,41.7,4,-0.45882352941176474,0.8352941176470587,0.5294117647058822,0.5294117647058822,0.5294117647058822
34.04910494573414,-117.8207587,N=43,16,0,0.8352941176470587,30.0,4,-0.45882352941176474,0.8352941176470587,0.39607843137254894,0.5294117647058822,0.8352941176470587
34.049034705385566,-117.8207846,N=44,20,5,0.8352941176470587,34.5,4,-0.45882352941176474,0.8352941176470587,0.8352941176470587,0.5294117647058822,0.8352941176470587
34.04893236234784,-117.8208279,N=45,11,0,0.5294117647058822,23.6,5,-0.45882352941176474,0.8352941176470587,0.8352941176470587,0.5294117647058822,0.5294117647058822
34.04887184500694,-117.8208537,N=46,22,1,0.39607843137254894,34.2,2,0.8509803921568628,0.8509803921568628,0.5294117647058822,0.39607843137254894,0.5294117647058822
34.04879146255553,-117.8208572,N=47,12,2,0.5294117647058822,22.1,4,-0.45882352941176474,0.8352941176470587,0.8509803921568628,0.5294117647058822,0.5294117647058822
34.04877872206271,-117.820834,N=48,17,4,0.5294117647058822,53.1,4,-0.45882352941176474,0.8352941176470587,0.8352941176470587,0.5294117647058822,0.5294117647058822
34.048735974356525,-117.8208277,N=49,35,2,-1.0,22.9,4,-1.0,-1.0,-1.0,-1.0,-1.0
34.04880395159125,-117.8207855,N=50,29,1,0.8352941176470587,35.0,3,-0.45882352941176474,0.8352941176470587,0.39607843137254894,0.5294117647058822,0.5294117647058822
